Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.2026364968299,7.55570560440939,12.0597652081337,8.15376277420427,4.84695768186085,6.90605782140467,-2.61174292476783,-2.68178423511596,4.25561601785942,-0.481798715203334,-0.504303388918912,2.16260052713423,-1.99113580736894,0.553455723541917,25.1778762249963,7.45884497828324,6.09780439121741,2.31869062176683,5.08433344145324,-1.07261362759534,-0.304212168486803,5.00743290822373,2.17569480664608,2.03456574053815,-0.400228702115452,6.41504018369684,2.3331085637222,-0.230627306273049,10.6597978997424,2.60817666368314,-0.764230734676768,2.75976724854534,3.8181524025238,0.533738507090536,-0.258089517535291,0.724838981070517,0.441041448058809,1.48299897161326,1.95594302672532,-3.23338933983322,1.88470066518847,3.65326761825509,14.2902354303358
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.796878878579221,4.25530339455582,9.56219662181179,0.345984740208507,-1.77869668772937,8.51736499112322,7.9553627287484,-0.236336789143323,5.79559296458005,2.15026727173506,-0.602928477580988,9.06998445877436,0.232710761845951,3.46138493945818,1.31500727210265,5.71637386269622,11.014743869558,6.31683473483768,7.30771963496896,7.39523780111931,1.88847388906525,6.61340574539679,4.35296382988099,7.80249388870359,4.47845213670386,8.66187322841225,6.25316468817478,4.11137901761516,5.79999174105387,2.96195085866692,8.44628157707625,6.62256261306693,6.45267237953146,5.79258484509867,4.32684561452976,3.9212287937935,5.95797670754024,6.20348941121868,6.60456906812341,5.88920497068135,2.01077262406221,6.94252492572348,1.62673258211919
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,309.805283645997,314.286582559959,334.96046501527,326.730273513319,311.788334185274,328.715164630481,344.993912306641,334.888996959212,344.904464201203,343.089820260752,332.153276660935,353.206720757378,345.401816823349,348.581211032689,344.371184069503,354.841188502861,383.973583031147,397.838955257373,415.273513470241,433.104727597234,428.309796566198,442.914122870048,448.128856317091,468.263047790124,474.086412333459,499.192797571217,514.113131757062,519.26101218434,533.471299938288,533.470084831931,561.847221302489,581.603658737407,600.731343697818,616.741331164082,624.576885187665,630.124750752312,648.420480176012,669.276310328333,694.492813126351,717.021595096634,713.8421779224,745.472563435144,740.306319930259
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4599999.9,11080000,900000,3040000,1189999.9,538566.543006104,1524028.63247118,1367714.12346925,1196623.81138929,567226.890756301,1255434.74294,892500.106741912,600088.333002617,473679.874783754,3957.84890911789,1981922.46479084,..,..,..,-475191.305312188,11683250,-11440.9127038289,..,..,44690.7076028703,584701.692574561,31593.7781888498,500245.09305907,3833208.34759483,348404.534569828,780582.003631938,3354999.1805922,604919.651526488,116727136.517749,91720479.3388806,7439564.58771175,55103.7198213654,65319814.8376385,6663761.85439284,30280866.0715354,21196554.6098288,22351623.301476,25249488.9899432
Burundi,BDI,"Population, total",SP.POP.TOTL,4383706,4566014,4681390,4808528,4926465,5034042,5129414,5247787,5365327,5471706,5587052,5703857,5858407,5676843,5713854,6066316,6070506,6070042,6187108,6337155,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,90,90,90,92.9483333331667,119.709166666167,120.690749999417,114.171083333167,123.563833333333,140.395,158.666666666667,171.255416666667,181.512583333333,208.302666666667,242.78,252.6625,249.7575,302.746666666667,352.350833333333,447.765833333333,563.5625,720.673333333333,830.353333333333,930.749166666666,1082.62,1100.9,1081.57716666667,1028.683553,1081.8696825,1185.69083333333,1230.17916666667,1230.74833333333,1261.07333333333,1442.505625,1555.09083333333,1546.68666666667,1571.89833333333,1654.62666666667,1729.055,1782.876875,1845.62289069697,1915.04617583333,1975.95088138768,2034.30663430472
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.49851950030166,12.1673943487938,5.86809635722661,8.15123135622631,14.3168697883258,3.80428683649425,1.67567567567547,7.11323763955337,4.48679769704177,11.6615998479958,7.00216956651122,8.99693873494331,1.82333333333308,9.67934658067928,14.8528149833969,19.2632536382538,26.4367816091951,31.1115898319695,12.5004107653378,3.38542427340455,24.4320242102151,9.29618771341889,-1.3656800532806,10.6474645658306,8.17642937482053,13.2520699188224,2.74542000214241,8.41206285772544,24.4069510353914,10.5554355299529,6.49326591473993,9.5921660597967,18.1610453065451,7.93795807492418,4.40535234185293,5.54468891259779,5.55768961400965,16.0525353030392,-2.81469807668465,-0.686772170797359,7.32110643415521,8.40453845076341,18.8008786664945
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.991055725106477,12.1632755698283,-1.05359982021012,3.71532699139112,0.155544004959737,11.7831801786654,3.25018045970241,5.50309611952244,5.03102436749121,1.34950223651784,3.49982213611253,4.99683644792125,1.00999837099629,-6.24000000139047,-3.82999999619828,-7.92000000374772,-7.99999999794093,-1.58999999685828,4.74999999509613,-1.00999999649815,-0.856864058424151,2.05580710835243,4.44651941224797,-1.22372796023444,4.83365776809453,0.900000000901912,5.41380714491444,3.44449364663615,4.90874190813545,3.7870758305051,5.09373697323055,4.02442793864228,4.42303118490126,4.92392485117456,4.24490803087248,-0.404525595204191,3.20017470604286,3.83185756925806,5.3422447312502,4.45934202358784,0.306443809481593,3.23707479823578,2.31770122223331
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,307.578267460065,331.215392246246,319.648687347883,322.759132903385,315.522461859928,345.163854234518,349.756030266147,360.679923797347,370.526755664209,368.226157097932,373.245241687992,383.870358589191,377.518319697874,365.282012271705,349.016249237768,302.701844524604,278.293479866983,273.889548332896,281.470892716422,272.030864788973,264.154407180223,262.913885774384,266.968141648342,255.500823385612,258.050009115333,250.878933475935,255.105582251925,254.311725516331,256.012461554496,252.582019875886,253.308577749924,254.242110648215,256.180393931874,259.311117203355,261.296721752002,254.402585226788,258.061970808946,261.725839288764,267.508692172687,270.411005710809,263.463876356897,264.682651664249,263.587550051638
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,0,0,0,0,0,0,-8734.17839975294,2786140.59499304,597911.680022202,174023.256534689,252601.216598284,1744334.22803127,450471.753014845,3644068.12685392,2128443.3544658,26180647.1200555,28528007.7360695,11576610.7394555,6793745.39412884,53935025.3549158,34202238.3816145,9010186.20568654,14759046.6769551,39216510.8127633,67638273.8033899,80513541.3322082,131539968.034583,191764359.163339,210903689.269434,126003552.248347,116200563.572312,102246382.223795,128009964.769676,89297443.9961387,180589795.413074,96071472.8368678,126312006.101644,111711633.73814,103550532.589032,122921295.022726,67619883.9199237,91456883.2590195,122015528.984869
